pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - Matt Black Freestanding Bath Tap - Camden - Better Bathrooms,,,,,,,,,£379.97,,,A1/BeBa_25969,,,,,,,,2021-09-28 12:41:00,,,,https://www.betterbathrooms.com/p/grade-a1-matt-black-freestanding-bath-tap-camden-a1beba_25969,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - Saturn Hinged 1450mm 6mm Matt Black Bath Screen - Better Bathrooms,,,,,,,,,£120.38,,,A1/BeBa_26026,,,,,,,,2021-09-28 12:41:03,,,,https://www.betterbathrooms.com/p/grade-a1-saturn-hinged-1450mm-6mm-matt-black-bath-screen-a1beba_26026,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - Kensington Black Heated Towel Rail - 1300 x 530mm - Better Bathrooms,,,,,,,,,£151.88,,,A1/120883tr,,,,,,,,2021-09-28 12:41:05,,,,https://www.betterbathrooms.com/p/grade-a1-kensington-black-heated-towel-rail-1300-x-530mm-a1120883tr,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A2 - Regent Chrome and White Heated Towel Rail - 952 x 659mm - Better Bathrooms,,,,,,,,,£179.98,,,78092175/1/BeBa_26263,,,,,,,,2021-09-28 12:41:05,,,,https://www.betterbathrooms.com/p/grade-a2-regent-chrome-and-white-heated-towel-rail-952-x-659mm-780921751beba_26263,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A2 - Tundra Chrome Heated Towel Rail - 1600 x 600mm - Better Bathrooms,,,,,,,,,£122.83,,,78094801/1/BeBa_26301,,,,,,,,2021-09-28 12:41:05,,,,https://www.betterbathrooms.com/p/grade-a2-tundra-chrome-heated-towel-rail-1600-x-600mm-780948011beba_26301,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - Nambi Anthracite 2 Column Horizontal Radiator - 600 x 828mm - Better Bathrooms,,,,,,,,,£111.13,,,A1/BeBa_26284,,,,,,,,2021-09-28 12:41:06,,,,https://www.betterbathrooms.com/p/grade-a1-nambi-anthracite-2-column-horizontal-radiator-600-x-828mm-a1beba_26284,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - Square 600mm Single Towel Bar - Bexton - Better Bathrooms,,,,,,,,,£18.5,,,A1/BeBa_26956,,,,,,,,2021-09-28 12:41:06,,,,https://www.betterbathrooms.com/p/grade-a1-square-600mm-single-towel-bar-bexton-a1beba_26956,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - Victoriana Soft Close Toilet Seat - Better Bathrooms,,,,,,,,,£12.02,,,78085115/7/BEBA_10556,,,,,,,,2021-09-28 12:41:06,,,,https://www.betterbathrooms.com/p/grade-a1-victoriana-soft-close-toilet-seat-780851157beba_10556,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - Chrome Wet Room Screen 2000mm x 1400mm - Corvus - Better Bathrooms,,,,,,,,,£185.22,,,78085115/5/BEBA_26084,,,,,,,,2021-09-28 12:41:06,,,,https://www.betterbathrooms.com/p/grade-a1-chrome-wet-room-screen-2000mm-x-1400mm-corvus-780851155beba_26084,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
,,,,,BetterBathrooms,,,,,,,,,,GRADE A1 - McAlpine WC-F26R Flexi Pan Connector - Better Bathrooms,,,,,,,,,£18.5,,,A1/WC-F26R,,,,,,,,2021-09-28 12:41:06,,,,https://www.betterbathrooms.com/p/grade-a1-mcalpine-wc-f26r-flexi-pan-connector-a1wc-f26r,,,BID000987,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36",,
