pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,APLIC,,,,,,,,,,,Hotpoint PCN642BIXH 60cm Gas Hob - Appliance City,,,,,,,,,,This item is no longer available,,PCN642BIXH,,,,,,,,2022-01-05 18:11:37,,,,https://www.appliancecity.co.uk/cooking/hobs/gas-hobs/hotpoint-pcn642bixh-60cm-gas-hob/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,AEG SCS51813S1 178cm Integrated In Column Fridge Freezer - Appliance City,,,,,,,,,,This item is no longer available,,SCS51813S1,,,,,,,,2022-01-05 18:11:37,,,,https://www.appliancecity.co.uk/refrigeration/fridge-freezers/integrated-fridge-freezers/aeg-scs51813s1-178cm-integrated-in-column-fridge-freezer/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,AEG L79495FL 9kg OKO Steam Washing Machine 1400rpm - Appliance City,,,,,,,,,,This item is no longer available,,L79495FL,,,,,,,,2022-01-05 18:11:37,,,,https://www.appliancecity.co.uk/laundry/washing-machines/freestanding-washing-machines/aeg-l79495fl-9kg-oko-steam-washing-machine-1400rpm/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,AEG L87490FL 9kg Washing Machine 1400rpm - Appliance City,,,,,,,,,,This item is no longer available,,L87490FL,,,,,,,,2022-01-05 18:11:38,,,,https://www.appliancecity.co.uk/laundry/washing-machines/freestanding-washing-machines/aeg-l87490fl-9kg-washing-machine-1400rpm/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,Liebherr GT4932 137cm Chest Freezer 449 Litres - Appliance City,,,,,,,,,,This item is no longer available,,GT4932,,,,,,,,2022-01-05 18:11:38,,,,https://www.appliancecity.co.uk/refrigeration/freezers/freestanding-freezers/liebherr-gt4932-137cm-chest-freezer-449-litres/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,Liebherr GNP3613 70cm Freestanding Frost Free Freezer - Appliance City,,,,,,,,,799.00,Awaiting Stock,,GNP3613,,,,,,,,2022-01-05 18:11:38,,,,https://www.appliancecity.co.uk/refrigeration/freezers/freestanding-freezers/liebherr-gnp3613-70cm-freestanding-frost-free-freezer/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,Liebherr ICBN3356 178cm Integrated Biofresh Frost Free Fridge Freeze - Appliance City,,,,,,,,,,This item is no longer available,,ICBN3356,,,,,,,,2022-01-05 18:11:38,,,,https://www.appliancecity.co.uk/refrigeration/fridge-freezers/integrated-fridge-freezers/liebherr-icbn3356-178cm-integrated-biofresh-frost-free-fridge-freeze/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,Bosch WTW85491GB 8kg Serie 6 Heat Pump Condenser Dryer - Appliance City,,,,,,,,,,This item is no longer available,,WTW85491GB,,,,,,,,2022-01-05 18:11:38,,,,https://www.appliancecity.co.uk/laundry/tumble-dryers/freestanding-tumble-dryers/bosch-wtw85491gb-8kg-serie-6-heat-pump-condenser-dryer/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,AEG DE4013001M Built In Double Oven - Appliance City,,,,,,,,,,This item is no longer available,,DE4013001M,,,,,,,,2022-01-05 18:11:38,,,,https://www.appliancecity.co.uk/cooking/built-in-ovens/built-in-double-ovens/aeg-de4013001m-built-in-double-oven/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,APLIC,,,,,,,,,,,Siemens EH375MV17E IQ-700 30cm Domino Flex Induction Hob (**GLASS**) - Appliance City,,,,,,,,,,This item is no longer available,,EH375MV17E,,,,,,,,2022-01-05 18:11:39,,,,https://www.appliancecity.co.uk/cooking/hobs/domino-hobs/siemens-eh375mv17e-iq-700-30cm-domino-flex-induction-hob-glass/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
