pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:21,,,,https://www.airconditioningworld.co.uk/brochures,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:23,,,,https://www.airconditioningworld.co.uk/gallery,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:24,,,,https://www.airconditioningworld.co.uk/our-guide-to-airconditioning,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:24,,,,https://www.airconditioningworld.co.uk/hitachi-air-conditioning,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:25,,,,https://www.airconditioningworld.co.uk/hitachi-air-conditioning-hitachi-wall-mounted,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:25,,,,https://www.airconditioningworld.co.uk/wall-mounted-air-conditioners,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:25,,,,https://www.airconditioningworld.co.uk/toshiba-air-conditioning,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:25,,,,https://www.airconditioningworld.co.uk/toshiba-air-conditioning-toshiba-ducted,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:25,,,,https://www.airconditioningworld.co.uk/ducted-air-conditioners,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:25,,,,https://www.airconditioningworld.co.uk/toshiba-air-conditioning-toshiba-ceiling-cassette,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:26,,,,https://www.airconditioningworld.co.uk/ceiling-cassette-air-conditioners,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,"LG PM05SP-NSA 1.5kW 5,000btu R32 Heat Pump Multi-split Standard Plus Wall Mounted - Indoor Unit Only ",,,,,,,,,"£195.,00",1,, PM05SP-NSA,,,,,,,,2022-02-25 13:32:26,,,,"https://www.airconditioningworld.co.uk/lg-pm05sp-nsa-1-5kw-,https://www.airconditioningworld.co.uk/lg-pm05sp-nsa-1-5kw-",,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,"LG UB70-N94/UU70W-U34 19.0kW 65,000btu (3PHASE) Heat Pump High Static Pressure Standard Inverter Ducted System ",,,,,,,,,"£4769.,00",1,, UB70-N94/UU70W-U34,,,,,,,,2022-02-25 13:32:26,,,,"https://www.airconditioningworld.co.uk/lg-ub70-n94-uu70w-u34-19-0kw-,https://www.airconditioningworld.co.uk/lg-ub70-n94-uu70w-u34-19-0kw-",,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:26,,,,https://www.airconditioningworld.co.uk/toshiba-air-conditioning-toshiba-wall-mounted,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:26,,,,https://www.airconditioningworld.co.uk/hitachi-air-conditioning-hitachi-compact-ceiling-cassette,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:26,,,,https://www.airconditioningworld.co.uk/hitachi-air-conditioning-hitachi-ducted,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:26,,,,https://www.airconditioningworld.co.uk/mitsubishi-electric-air-conditioning-mitsubishi-electric-ducted,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,"Daikin FAA100A/RZASG100MV1 10KW 32,000btu Heat Pump Advance R32 Wall Mounted System",,,,,,,,,"£2695.,00",1,,,,,,,,,,2022-02-25 13:32:26,,,,"https://www.airconditioningworld.co.uk/daikin-faa100a-rzasg100mv1-10kw-,https://www.airconditioningworld.co.uk/daikin-faa100a-rzasg100mv1-10kw-",,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,AirConditioningWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:32:26,,,,https://www.airconditioningworld.co.uk/hitachi-floor-mounted,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
