pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,,,,,,,,,,,,"GoodHome Kitchen Chueca Matt Emulsion paint, 2.5L",,,,,,,,,"£,17",1,,3663602403845,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Powder Grey Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473698,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Dove Grey Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472233,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Primrose White Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472073,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"GoodHome Bathroom Minneapolis Soft sheen Emulsion paint, 2.5L",,,,,,,,,"£,17",1,,3663602404644,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Farrow & Ball Estate Light gray No.17 Matt Emulsion paint, 2.5L",,,,,,,,,"£,52",1,,5029496021721,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Soft Natural Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473544,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Silver Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472325,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Blush Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583474060,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Eau De Nil Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473872,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Gold Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473506,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Charcoal Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472400,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sable Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473599,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sunshine Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473490,,,,,,,,,,,,,,,,,,,,,
