pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,BBQShop,,,,,,,,,,,Yukon Broil King BBQ Outdoor Kitchen - The Pro,,,,,,,,,"£7,399.00,
                      ,
                    ,
                      ,
                    ",In Stock,,YUBKPRO,,,,,,,,2022-03-01 12:03:42,,,,https://thebbqshop.co.uk/yubk-the-pro,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,"BeefEater Harmony Outdoor Kitchen with S3000 4 Burner BBQ, Double Fridge and Sink",,,,,,,,,"£8,889.00,
                      ,
                    ,
                      ,
                    ",In Stock,,BOK44WG3000,,,,,,,,2022-03-01 12:03:47,,,,https://thebbqshop.co.uk/BeefEater-Harmony-Outdoor-Kitchen-with-S2000-4-Burner-BBQ-Double-Fridge-Sink-and-Tap,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,BeefEater Harmony Outdoor Kitchen with S3000 4 Burner BBQ and Double Fridge,,,,,,,,,"£7,989.00,
                      ,
                    ,
                      ,
                    ",In Stock,,BOK43WG3000,,,,,,,,2022-03-01 12:03:49,,,,https://thebbqshop.co.uk/BeefEater-Harmony-Outdoor-Kitchen-with-S2000-4-Burner-BBQ-and-Double-Fridge,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,BeefEater Harmony Outdoor Kitchen with S3000 4 Burner BBQ and Single Fridge,,,,,,,,,"£7,519.00,
                      ,
                    ,
                      ,
                    ",In Stock,,BOK41WG3000,,,,,,,,2022-03-01 12:03:50,,,,https://thebbqshop.co.uk/BeefEater-Harmony-Outdoor-Kitchen-with-S2000-4-Burner-BBQ-and-Single-Fridge,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,Gozney Roccbox Cover,,,,,,,,,"£40.00,
                      ,
                    ,
                      ,
                    ",In Stock,,RBX1COVER,,,,,,,,2022-03-01 12:03:51,,,,https://thebbqshop.co.uk/gozney-roccbox-pizza-oven-cover-RBX1COVER,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,BeefEater Harmony Outdoor Kitchen with S3000 4 Burner BBQ,,,,,,,,,"£6,979.00,
                      ,
                    ,
                      ,
                    ",In Stock,,BOK40WG3000,,,,,,,,2022-03-01 12:03:51,,,,https://thebbqshop.co.uk/BeefEater-Harmony-Outdoor-Kitchen-with-S2000-4-Burner-BBQ,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,EO Outdoor Kitchen Napoleon S9BIPRO825LE,,,,,,,,,"£18,449.99,
                      ,
                    ,
                      ,
                    ",In Stock,,EOS9N825LE,,,,,,,,2022-03-01 12:03:52,,,,https://thebbqshop.co.uk/eo-outdoor-kitchen-napoleon-s9bipro825-EOS9N825LE,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,Gozney Dome Pizza Oven Cover,,,,,,,,,"£69.00,
                      ,
                    ,
                      ,
                    ",In Stock,,D1COVER,,,,,,,,2022-03-01 12:03:52,,,,https://thebbqshop.co.uk/gozney-dome-pizza-oven-cover-D1COVER,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,EO Outdoor Kitchen Napoleon S9BIPRO665LE,,,,,,,,,"£16,999.99,
                      ,
                    ,
                      ,
                    ",In Stock,,EOS9N665LE,,,,,,,,2022-03-01 12:03:52,,,,https://thebbqshop.co.uk/eo-outdoor-kitchen-napoleon-s3bipro665le,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,BBQShop,,,,,,,,,,,"5/8"" Right Hand BBQ Fitting",,,,,,,,,"£3.99,
                      ,
                    ",In Stock,,BFBBQSTEM / HBBQ9NUT,,,,,,,,2022-03-01 12:03:52,,,,https://thebbqshop.co.uk/5-8-inch-right-hand-bbq-fitting-quick-release,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
