pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,Box,,,,,,,,,,," Samsung 2021 75"" QN90A Flagship Neo QLED 4K HDR 2000 | Box.co.uk",,,,,,,,,"£2,899.00,£2,899.00","
                                            ,
                                        4 In Stock                                            ,
                                    ",,"QE75QN90AATXXU,QE75QN90AATXXU",,,,,,,,2022-02-04 13:02:06,,,,https://www.box.co.uk/soloco/Samsung-2021-75-QN90A-Flagship-Samsung-_3851424.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," C204MA-GJ0427-3Y, ASUS Chromebook C204MA | Box.co.uk",,,,,,,,,"£174.99,£174.99","
                                            ,
                                        In Stock                                            ,
                                    ",,C204MA-GJ0427-3Y,,,,,,,,2022-02-04 13:02:15,,,,https://www.box.co.uk/C204MA-GJ0427-3Y-ASUS-Chromebook-C204MA_3828884.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," C433TA-AJ0273, ASUS Chromebook Flip C433TA | Box.co.uk",,,,,,,,,"£489.49,£489.49","
                                            ,
                                        In Stock                                            ,
                                    ",,C433TA-AJ0273,,,,,,,,2022-02-04 13:02:25,,,,https://www.box.co.uk/C433TA-AJ0273-ASUS-Chromebook-Flip-C433TA_3828886.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," N7600PC-L2010T, ASUS VivoBook Pro 16X Intel Core i7 | Box.co.uk",,,,,,,,,"£1,499.97,£1,499.97","
                                            ,
                                        12 In Stock                                            ,
                                    ",,N7600PC-L2010T,,,,,,,,2022-02-04 13:02:37,,,,https://www.box.co.uk/N7600PC-L2010T-ASUS-VivoBook-Pro-16X-Intel-Core-i7-16GB_3828928.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," K513EA-L1912T, ASUS VivoBook 15 OLED Intel Core i5 | Box.co.uk",,,,,,,,,"£781.61,£781.61","
                                            ,
                                        In Stock                                            ,
                                    ",,K513EA-L1912T,,,,,,,,2022-02-04 13:02:48,,,,https://www.box.co.uk/K513EA-L1912T-ASUS-VivoBook-15-OLED-Intel-Core-i5-8GB-_3828921.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 82CD0001UK, Lenovo 100e 2nd Gen AMD A4 4GB RAM 32GB | Box.co.uk",,,,,,,,,"£109.99,£109.99","
                                            ,
                                        In Stock                                            ,
                                    ",,82CD0001UK,,,,,,,,2022-02-04 13:02:55,,,,https://www.box.co.uk/82CD0001UK-Lenovo-100e-2nd-Gen-AMD-A4-4GB-RAM-32GB-_2928667.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 82C70010UK, Lenovo V15 | Box.co.uk",,,,,,,,,"£396.49,£396.49","
                                        Coming Soon                                    ",,82C70010UK,,,,,,,,2022-02-04 13:03:06,,,,https://www.box.co.uk/82C70010UK-Lenovo-V15_2928666.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," PVDV3, Dell Precision 5550 | Box.co.uk",,,,,,,,,"£2,376.49,£2,376.49","
                                        Coming Soon                                    ",,PVDV3,,,,,,,,2022-02-04 13:03:17,,,,https://www.box.co.uk/PVDV3-Dell-Precision-5550_2990217.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 81LK01PRUK, Lenovo ideaPad L340 Intel Core i5 8GB | Box.co.uk",,,,,,,,,£699.97,,,81LK01PRUK,,,,,,,,2022-02-04 13:03:29,,,,https://www.box.co.uk/81LK01PRUK-Lenovo-ideaPad-L340-Intel-Core-i5-8GB-RA_3064871.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," AORUS 17G YD-74UK345SH, YD-74UK345SH Intel Core i7 | Box.co.uk",,,,,,,,,"£2,099.97,£2,099.97","
                                        Coming Soon                                    ",,AORUS 17G YD-74UK345SH,,,,,,,,2022-02-04 13:03:40,,,,https://www.box.co.uk/AORUS-17G-YD-74UK345SH-AORUS-17G-YD-74UK345SH-Intel-Core-i7-32G_3817159.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 82C70005UK, Lenovo V15 Ryzen 5 8GB RAM 256GB SSD | Box.co.uk",,,,,,,,,"£453.99,£453.99","
                                            ,
                                        In Stock                                            ,
                                    ",,82C70005UK,,,,,,,,2022-02-04 13:03:49,,,,https://www.box.co.uk/82C70005UK-Lenovo-V15-Ryzen-5-8GB-RAM-256GB-SSD-Win_2928664.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 20WM004NUK, Lenovo ThinkPad T14s Gen 2 | Box.co.uk",,,,,,,,,"£1,507.99,£1,507.99","
                                        Coming Soon                                    ",,20WM004NUK,,,,,,,,2022-02-04 13:03:57,,,,https://www.box.co.uk/20WM004NUK-Lenovo-ThinkPad-T14s-Gen-2_3825866.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 82CE0001UK, Lenovo 300e Chromebook 2nd Gen | Box.co.uk",,,,,,,,,"£269.99,£269.99","
                                            ,
                                        In Stock                                            ,
                                    ",,82CE0001UK,,,,,,,,2022-02-04 13:04:08,,,,https://www.box.co.uk/82CE0001UK-Lenovo-300e-Chromebook-2nd-Gen_2928668.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 43A00EA#ABU, HP ProBook 430 G8 | Box.co.uk",,,,,,,,,"£733.99,£733.99","
                                            ,
                                        9 In Stock                                            ,
                                    ",,43A00EA#ABU,,,,,,,,2022-02-04 13:04:19,,,,https://www.box.co.uk/43A00EAABU-HP-ProBook-430-G8_3822925.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," A1PYS26E114A, Dynabook Satellite Pro C40-G-10S Intel | Box.co.uk",,,,,,,,,"£299.49,£299.49","
                                            ,
                                        13 In Stock                                            ,
                                    ",,A1PYS26E114A,,,,,,,,2022-02-04 13:04:28,,,,https://www.box.co.uk/A1PYS26E114A-Dynabook-Satellite-Pro-C40-G-10S-Intel-C_3597806.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 43A04EA#ABU, HP ProBook 445 G8 | Box.co.uk",,,,,,,,,"£778.99,£778.99","
                                            ,
                                        In Stock                                            ,
                                    ",,43A04EA#ABU,,,,,,,,2022-02-04 13:04:39,,,,https://www.box.co.uk/43A04EAABU-HP-ProBook-445-G8_3855661.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 81LL0009UK, Lenovo ideaPad L340 i5 8GB RAM 256GB SSD | Box.co.uk",,,,,,,,,£849.97,,,81LL0009UK,,,,,,,,2022-02-04 13:04:49,,,,https://www.box.co.uk/81LL0009UK-Lenovo-ideaPad-L340-i5-8GB-RAM-256GB-SSD_2834180.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 2X7V1EA#ABU, HP 250 G8 Intel Core i5 8GB RAM 256GB | Box.co.uk",,,,,,,,,"£589.49,£589.49","
                                            ,
                                        In Stock                                            ,
                                    ",,2X7V1EA#ABU,,,,,,,,2022-02-04 13:04:59,,,,https://www.box.co.uk/2X7V1EAABU-HP-250-G8-Intel-Core-i5-8GB-RAM-256GB-SS_3570244.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 82N600EUUK, Lenovo Legion 7 AMD Ryzen 16GB RAM 512GB | Box.co.uk",,,,,,,,,"£1,499.97,£1,499.97","
                                            ,
                                        1 In Stock                                            ,
                                    ",,82N600EUUK,,,,,,,,2022-02-04 13:05:11,,,,https://www.box.co.uk/82N600EUUK-Lenovo-Legion-7-AMD-Ryzen-7-16GB-RAM-512_4095725.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," Honor MagicBook Pro AMD Ryzen 5 16GB 512GB SSD 16.1"" | Box.co.uk",,,,,,,,,"£649.97,£649.97","
                                            ,
                                        In Stock                                            ,
                                    ",,"53011SYA-001,53011SYA-001",,,,,,,,2022-02-04 13:05:19,,,,https://www.box.co.uk/Honor-MagicBook-Pro-AMD-Ryzen-5-16GB-512_3814504.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," X512JA-EJ568T, ASUS VivoBook 15 Intel Core i5 8GB | Box.co.uk",,,,,,,,,"£499.97,£499.97","
                                            ,
                                        8 In Stock                                            ,
                                    ",,X512JA-EJ568T,,,,,,,,2022-02-04 13:05:26,,,,https://www.box.co.uk/X512JA-EJ568T-ASUS-VivoBook-15-Intel-Core-i5-8GB-RAM-5_2941139.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," VFY:U7510M451FGB, Fujitsu LifeBook U7510 | Box.co.uk",,,,,,,,,"£911.49,£911.49","
                                            ,
                                        1 In Stock                                            ,
                                    ",,VFY:U7510M451FGB,,,,,,,,2022-02-04 13:05:35,,,,https://www.box.co.uk/VFYU7510M451FGB-Fujitsu-LifeBook-U7510_2928266.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," X515EA-BQ579T, ASUS VivoBook 15 Intel Core i7 8GB | Box.co.uk",,,,,,,,,"£599.97,£599.97","
                                            ,
                                        In Stock                                            ,
                                    ",,X515EA-BQ579T,,,,,,,,2022-02-04 13:05:47,,,,https://www.box.co.uk/X515EA-BQ579T-ASUS-VivoBook-15-Intel-Core-i7-8GB-RAM-5_3813205.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 20W8002MUK, Lenovo ThinkPad X13 Yoga Gen 2 | Box.co.uk",,,,,,,,,"£1,638.49,£1,638.49","
                                        Coming Soon                                    ",,20W8002MUK,,,,,,,,2022-02-04 13:05:54,,,,https://www.box.co.uk/20W8002MUK-Lenovo-ThinkPad-X13-Yoga-Gen-2_3629695.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 204C9EA#ABU, HP EliteBook 850 G7 | Box.co.uk",,,,,,,,,"£1,984.49,£1,984.49","
                                        Coming Soon                                    ",,204C9EA#ABU,,,,,,,,2022-02-04 13:06:02,,,,https://www.box.co.uk/204C9EAABU-HP-EliteBook-850-G7_3068459.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," K3500PA-L1056T, ASUS VivoBook Pro 15 OLED Intel Core | Box.co.uk",,,,,,,,,"£879.97,£879.97","
                                            ,
                                        1 In Stock                                            ,
                                    ",,K3500PA-L1056T,,,,,,,,2022-02-04 13:06:11,,,,https://www.box.co.uk/K3500PA-L1056T-ASUS-VivoBook-Pro-15-OLED-Intel-Core-i7-_3831855.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 20XW0027UK, Lenovo ThinkPad X1 Carbon Gen 9 | Box.co.uk",,,,,,,,,"£1,646.99,£1,646.99","
                                            ,
                                        In Stock                                            ,
                                    ",,20XW0027UK,,,,,,,,2022-02-04 13:06:24,,,,https://www.box.co.uk/20XW0027UK-Lenovo-ThinkPad-X1-Carbon-Gen-9_3614094.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
,,,,,Box,,,,,,,,,,," 82EH001VUK, Lenovo Legion C7 Intel Core i7 32GB RAM | Box.co.uk",,,,,,,,,"£1,568.19",,,82EH001VUK,,,,,,,,2022-02-04 13:06:32,,,,https://www.box.co.uk/82EH001VUK-Lenovo-Legion-C7-Intel-Core-i7-32GB-RAM-_2943319.html,,,BID002464,T-1000,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,
