pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:24,,,,https://www.cramptonandmoore.co.uk/,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:25,,,,https://www.cramptonandmoore.co.uk/commercial/electrolux-commercial/tumble-dryers.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:25,,,,https://www.cramptonandmoore.co.uk/commercial/electrolux-commercial.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:26,,,,https://www.cramptonandmoore.co.uk/clearance.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:26,,,,https://www.cramptonandmoore.co.uk/commercial/miele-professional/tumble-dryers.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:26,,,,https://www.cramptonandmoore.co.uk/commercial/miele-professional/rotary-ironers.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:26,,,,https://www.cramptonandmoore.co.uk/commercial/miele-professional/dishwashers.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:26,,,,https://www.cramptonandmoore.co.uk/commercial/miele-professional/washing-machines.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:26,,,,https://www.cramptonandmoore.co.uk/our-brands.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:26,,,,https://www.cramptonandmoore.co.uk/small-appliances.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,CramptonandMoore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-25 13:04:27,,,,https://www.cramptonandmoore.co.uk/small-appliances/floorcare/steam-cleaners.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
