pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,HOMEBASE,,,,,,,,,,,"Stylish Stone Natural Sandstone 600 x 290mm - Scottish Glen (Full Pack),Stylish Stone Natural Sandstone 600 x 290mm - Scottish Glen (Full Pack)",,,,,,,,,"                      £620.00,                  ,                              £620.00,                          ",In stock,,"              SKU: 424635,            ",,,,,,,,2022-01-21 14:22:23,,,,https://www.homebase.co.uk/stylish-stone-natural-sandstone-600-x-290mm-scottish-glen-full-pack/13626880.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Stylish Stone Sawn Limestone 400 x 400mm - Charcoal (Full Pack),Stylish Stone Sawn Limestone 400 x 400mm - Charcoal (Full Pack)",,,,,,,,,"                      £715.00,                  ,                              £715.00,                          ",In stock,,"              SKU: 409302,            ",,,,,,,,2022-01-21 14:22:25,,,,https://www.homebase.co.uk/stylish-stone-sawn-limestone-400-x-400mm-charcoal-full-pack/13626879.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Belfrey Paving 450 x 300mm Graphite (Full Pack),Belfrey Paving 450 x 300mm Graphite (Full Pack)",,,,,,,,,"                      £395.00,                  ,                              £395.00,                          ",In stock,,"              SKU: 561451,            ",,,,,,,,2022-01-21 14:22:25,,,,https://www.homebase.co.uk/belfrey-paving-450-x-300mm-graphite-full-pack/13626878.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Stylish Stone Natural Sandstone 290 x 290mm - Scottish Glen (Full Pack),Stylish Stone Natural Sandstone 290 x 290mm - Scottish Glen (Full Pack)",,,,,,,,,"                      £575.00,                  ,                              £575.00,                          ",In stock,,"              SKU: 424637,            ",,,,,,,,2022-01-21 14:22:26,,,,https://www.homebase.co.uk/stylish-stone-natural-sandstone-290-x-290mm-scottish-glen-full-pack/13626877.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Thorpe 4 Bar White Spotlight,Thorpe 4 Bar White Spotlight",,,,,,,,,"                      £39.00,                  ,                              £39.00,                          ",Sold out,,"              SKU: 568430,            ",,,,,,,,2022-01-21 14:22:26,,,,https://www.homebase.co.uk/thorpe-4-bar-white-spotlight/13624099.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Nasturtiums Seeds Bundle,Nasturtiums Seeds Bundle",,,,,,,,,"                      £14.45,                  ,                              £14.45,                          ",Sold out,,,,,,,,,,2022-01-21 14:22:26,,,,https://www.homebase.co.uk/nasturtiums-seeds-bundle/13553477.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Root Vegetable Seeds Bundle,Root Vegetable Seeds Bundle",,,,,,,,,"                      £10.95,                  ,                              £10.95,                          ",Sold out,,,,,,,,,,2022-01-21 14:22:26,,,,https://www.homebase.co.uk/root-vegetable-seeds-bundle/13553478.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"HARRIS CORK SANDING BLOCK.,HARRIS CORK SANDING BLOCK.",,,,,,,,,"                      £4.00,                  ,                              £4.00,                          ",In stock,,,,,,,,,,2022-01-21 14:22:43,,,,https://www.homebase.co.uk/harris-cork-sanding-block./13529262.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Scindapsus (Devils Ivy) 80cm Mosspole - Pot Size 19cm,Scindapsus (Devils Ivy) 80cm Mosspole - Pot Size 19cm",,,,,,,,,"                      £30.00,                  ,                              £30.00,                          ",Sold out,,"              SKU: 632648,            ",,,,,,,,2022-01-21 14:22:43,,,,https://www.homebase.co.uk/scindapsus-devils-ivy-80cm-mosspole-pot-size-19cm/13528700.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,HOMEBASE,,,,,,,,,,,"Echeveria mix 10.5cm,Echeveria mix 10.5cm",,,,,,,,,"                      £5.45,                  ,                              £5.45,                          ",Sold out,,"              SKU: 632642,            ",,,,,,,,2022-01-21 14:22:43,,,,https://www.homebase.co.uk/echeveria-mix-10.5cm/13528697.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
