pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,Homebase,,,,,,,,,"13661586,'",,"La Hacienda Deluxe Tripod with Hanging Grill,La Hacienda Deluxe Tripod with Hanging Grill",,,,,,,,,"                      £85.00,                  ,                              £85.00,                          ",Sold out,,"              SKU: 471343,            ",,,,,,,,2022-02-25 14:28:54,,,,https://www.homebase.co.uk/la-hacienda-deluxe-tripod-with-hanging-grill/13661586.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13661585,'",,"Silver Electric Tabletop Patio Heater,Silver Electric Tabletop Patio Heater",,,,,,,,,"                      £185.00,                  ,                              £185.00,                          ",Sold out,,"              SKU: 203032,            ",,,,,,,,2022-02-25 14:28:55,,,,https://www.homebase.co.uk/silver-electric-tabletop-patio-heater/13661585.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13661584,'",,"Copper Electric Tabletop Patio Heater,Copper Electric Tabletop Patio Heater",,,,,,,,,"                      £195.00,                  ,                              £195.00,                          ",Sold out,,"              SKU: 203036,            ",,,,,,,,2022-02-25 14:28:57,,,,https://www.homebase.co.uk/copper-electric-tabletop-patio-heater/13661584.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13661583,'",,"Tauri Portable Tower Patio Heater,Tauri Portable Tower Patio Heater",,,,,,,,,"                      £119.00,                  ,                              £119.00,                          ",Sold out,,"              SKU: 566539,            ",,,,,,,,2022-02-25 14:28:57,,,,https://www.homebase.co.uk/tauri-portable-tower-patio-heater/13661583.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13660831,'",,"Relax Trouser Rack Kit with Brackets - Walnut - 900mm,Relax Trouser Rack Kit with Brackets - Walnut - 900mm",,,,,,,,,"                      £124.00,                  ,                              £124.00,                          ",Sold out,,"              SKU: 676152,            ",,,,,,,,2022-02-25 14:28:58,,,,https://www.homebase.co.uk/relax-trouser-rack-kit-with-brackets-walnut-900mm/13660831.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13660800,'",,"Loft Silver Frame Cream Glass Sliding Door - 914mm,Loft Silver Frame Cream Glass Sliding Door - 914mm",,,,,,,,,"                      £116.00,                  ,                              £116.00,                          ",Sold out,,"              SKU: 306512,            ",,,,,,,,2022-02-25 14:28:58,,,,https://www.homebase.co.uk/loft-silver-frame-cream-glass-sliding-door-914mm/13660800.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13660801,'",,"ZENOLITE KTCHN PNL 1220X1000X4MM MOCHA,ZENOLITE KTCHN PNL 1220X1000X4MM MOCHA",,,,,,,,,"                      £179.00,                  ,                              £179.00,                          ",Sold out,,,,,,,,,,2022-02-25 14:28:58,,,,https://www.homebase.co.uk/zenolite-ktchn-pnl-1220x1000x4mm-mocha/13660801.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13660796,'",,"Ellipse 4 Panel Cream Glass Sliding Door - 914mm,Ellipse 4 Panel Cream Glass Sliding Door - 914mm",,,,,,,,,"                      £340.00,                  ,                              £340.00,                          ",Sold out,,"              SKU: 306446,            ",,,,,,,,2022-02-25 14:28:58,,,,https://www.homebase.co.uk/ellipse-4-panel-cream-glass-sliding-door-914mm/13660796.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13660797,'",,"Loft Silver Frame Cream Glass Sliding Door - 762mm,Loft Silver Frame Cream Glass Sliding Door - 762mm",,,,,,,,,"                      £104.00,                  ,                              £104.00,                          ",Sold out,,"              SKU: 306500,            ",,,,,,,,2022-02-25 14:28:58,,,,https://www.homebase.co.uk/loft-silver-frame-cream-glass-sliding-door-762mm/13660797.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
,,,,,Homebase,,,,,,,,,"13660795,'",,"Ellipse 4 Panel Walnut Panel and Cream Glass Sliding Door - 914mm,Ellipse 4 Panel Walnut Panel and Cream Glass Sliding Door - 914mm",,,,,,,,,"                      £340.00,                  ,                              £340.00,                          ",Sold out,,"              SKU: 306429,            ",,,,,,,,2022-02-25 14:28:58,,,,https://www.homebase.co.uk/ellipse-4-panel-walnut-panel-and-cream-glass-sliding-door-914mm/13660795.html,,,BID002464,T-1000,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362",,
