pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,appliancecity,,,,,,,,,,,Stoves Gas Range Cookers - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:14,,,,https://www.appliancecity.co.uk/cooking/range-cookers/gas-range-cookers/stoves/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,70cm Freestanding Freezers - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:14,,,,https://www.appliancecity.co.uk/refrigeration/freezers/freestanding-freezers/70cm/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Smeg Juicers | Pastel Citrus Juicers - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:24,,,,https://www.appliancecity.co.uk/small-appliances/juicers/smeg/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Pink Fridges - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:24,,,,https://www.appliancecity.co.uk/refrigeration/fridges/pink/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,De Dietrich Gas Hobs - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:24,,,,https://www.appliancecity.co.uk/cooking/hobs/gas-hobs/de-dietrich/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Siemens Laundry - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:24,,,,https://www.appliancecity.co.uk/laundry/siemens/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Blue Washing Machines - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:25,,,,https://www.appliancecity.co.uk/laundry/washing-machines/blue/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Onyx Sinks - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:25,,,,https://www.appliancecity.co.uk/sinks-taps/sinks/onyx/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,Liebherr Integrated Fridges - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:27,,,,https://www.appliancecity.co.uk/refrigeration/fridges/integrated-fridges/liebherr/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
,,,,,appliancecity,,,,,,,,,,,1600 RPM Washing Machines - Appliance City,,,,,,,,,,,,,,,,,,,,2022-01-05 18:12:27,,,,https://www.appliancecity.co.uk/laundry/washing-machines/1600rpm/,,,BID002464,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",,
